SY_LSOA,LSOA11CD_code,"Agriculture, forestry & fishing","Mining, quarrying & utilities",Manufacturing,Construction,Motor trades,Wholesale,Retail,Transport & storage (inc postal),Accommodation & food services,Information & communication,Financial & insurance,Property,"Professional, scientific & technical",Business administration & support services,Public administration & defence,Education,Health,"Arts, entertainment, recreation & other services"
Sheffield 023D,E01008132,0,0,0,25,0,0,0,0,0,0,0,0,5,10,0,40,0,0
Sheffield 023E,E01008133,0,0,0,5,0,0,25,0,50,0,0,0,10,0,0,40,10,0
Sheffield 024A,E01008151,0,0,0,30,0,10,50,0,35,0,10,10,10,30,0,10,20,45
Sheffield 024B,E01008153,0,0,0,30,10,0,0,0,10,0,0,0,5,0,0,0,0,0
Sheffield 024C,E01008154,0,0,0,10,0,0,20,0,20,0,0,0,5,10,0,0,10,10
Sheffield 024D,E01008155,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,30,0,0
Sheffield 024E,E01008156,0,0,0,5,0,0,10,0,0,5,0,0,10,0,0,0,0,0
Sheffield 024F,E01008160,0,0,0,20,0,10,0,0,10,0,0,0,0,0,30,50,75,0
Sheffield 025A,E01007997,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,50,10,0
Sheffield 025B,E01007998,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,10,10
Sheffield 025C,E01008152,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
Sheffield 025D,E01008158,0,0,0,20,0,0,10,0,20,0,0,0,0,0,0,0,0,0
Sheffield 026A,E01008065,0,0,0,0,0,0,10,0,15,0,0,0,0,20,10,50,250,0
Sheffield 026B,E01008068,0,0,0,0,0,0,0,5,30,0,10,0,5,20,10,10000,50,0
Sheffield 026C,E01008072,0,45,100,15,50,125,100,10,35,50,0,5,30,50,0,0,75,125
Sheffield 026D,E01008157,0,0,0,20,0,0,40,0,15,0,0,0,0,0,10,50,30,0
Sheffield 026E,E01008161,0,0,500,50,200,15,50,100,100,0,0,10,50,250,0,40,150,50
Sheffield 027A,E01007883,0,0,500,75,600,700,175,250,50,50,50,75,250,600,300,35,5,75
Sheffield 027B,E01007902,0,40,600,300,125,500,50,125,100,10,15,5,400,150,0,100,10,50
Sheffield 027C,E01007905,0,100,100,0,0,0,10,0,5,5,0,0,20,200,0,0,5,0
Sheffield 027D,E01007906,0,0,150,10,0,10,75,20,10,5,15,0,15,100,10,20,35,25
Sheffield 028A,E01008064,0,0,40,10,10,0,75,0,75,0,0,5,0,10,0,0,0,10
Sheffield 028B,E01008066,0,0,0,0,0,0,75,0,50,0,0,0,5,0,0,0,50,15
Sheffield 028C,E01008069,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,50,10,0
Sheffield 028D,E01008074,0,0,0,0,0,0,10,0,0,0,0,0,75,0,0,0,0,10
Sheffield 029A,E01007951,0,0,5,10,10,0,50,0,30,0,0,10,20,35,0,50,75,20
Sheffield 029B,E01007960,0,0,0,0,10,0,0,0,20,5,0,0,0,0,0,0,0,0
Sheffield 029C,E01007962,0,0,10,10,0,0,0,0,50,0,0,0,5,30,0,0,50,10
Sheffield 029D,E01008159,0,0,0,0,0,0,45,0,10,0,10,20,15,10,0,0,20,5
Sheffield 030A,E01007866,0,0,0,5,0,10,125,0,125,15,0,5,30,45,0,0,10000,600
Sheffield 030B,E01007867,0,0,0,15,0,0,200,0,175,10,0,25,25,300,0,0,25,40
Sheffield 030C,E01007868,0,0,10,10,0,20,0,0,20,15,0,5,30,5,0,10,450,5
Sheffield 030D,E01008067,0,0,10,0,0,0,20,0,10,0,0,10,10,0,0,0,40,30
Sheffield 030E,E01008073,0,0,0,10,0,0,5,0,30,0,0,0,10,0,0,25,20,10
Sheffield 032A,E01007907,0,0,45,75,0,10,15,10,0,0,0,0,50,10,50,20,200,5
Sheffield 032B,E01007908,0,0,0,15,0,0,0,0,20,0,0,0,0,0,0,10,0,0
Sheffield 032C,E01007909,0,0,100,40,30,0,45,0,175,20,0,0,35,15,0,40,20,30
Sheffield 032D,E01007911,0,30,400,400,125,250,25,10,30,10,0,5,100,400,40,10,5,25
Sheffield 032E,E01008014,0,0,50,5,10,200,10,0,0,10,0,0,200,45,400,10,40,10
Sheffield 032F,E01008016,0,0,0,10,0,0,0,10,10,0,0,10,0,0,0,40,50,0
Sheffield 033A,E01007952,0,0,0,20,0,10,0,0,0,5,0,0,10,10,0,0,0,10
Sheffield 033B,E01007953,0,0,0,15,0,0,0,0,10,0,0,5,30,15,0,0,300,20
Sheffield 033C,E01007954,0,0,0,15,0,0,5,0,20,10,0,0,20,35,0,250,30,0
Sheffield 033D,E01007961,0,0,0,0,20,0,10,50,0,5,0,5,20,10,0,0,20,0
Sheffield 036A,E01007859,0,0,0,5,0,5,40,0,75,50,20,45,300,15,0,400,10,5
Sheffield 036B,E01007860,0,0,5,25,0,5,10,0,45,45,0,10,50,25,0,300,50,100
Sheffield 036C,E01007863,0,0,10,10,0,0,20,0,225,5,0,0,30,0,0,30,20,25
Sheffield 036D,E01007864,0,0,0,35,10,0,125,0,75,10,0,50,0,0,0,0,25,10
Sheffield 036E,E01008104,0,0,0,0,10,10,125,0,250,5,0,20,125,450,10,0,75,40
Sheffield 037A,E01007910,0,0,15,10,0,0,500,0,15,0,0,0,0,0,40,100,100,10
Sheffield 037B,E01007912,0,0,50,10,10,10,25,0,0,0,0,0,10,30,0,10,0,0
